,Country Name,Country Code,Death rate,gdp,population % 0-14,population % over 65,population % 15-65
0,Aruba,ABW,9.69,24487.863569428,17.3510219591029,14.9369748884688,67.7120031524284
1,Africa Eastern and Southern,AFE,7.62054776213486,1353.9275274008,41.598104923321,3.16669494525835,55.2352001314207
2,Afghanistan,AFG,7.113,516.866797351726,43.8079121491391,2.41695301478831,53.7751348360726
3,Africa Western and Central,AFW,10.6012972524141,1686.99789853738,43.3193465660061,2.89695650549969,53.7836969284942
4,Angola,AGO,7.821,1502.95075414518,45.3066016809735,2.58997520856912,52.1034231104574
5,Albania,ALB,10.785,5343.0377039956,16.4715191611974,15.822112678783,67.7063681600196
6,Arab World,ARB,5.61610840015073,5639.39873488484,33.3425712506039,4.35576340297197,62.3016653464241
7,United Arab Emirates,ARE,1.766,37629.1741680652,14.9409854694949,1.65397566501915,83.4050388654859
8,Argentina,ARG,8.509,8496.428156755,23.6563980592251,11.7274541416082,64.6161477991667
9,Armenia,ARM,12.792,4505.86774552638,20.3433230260031,12.407896540091,67.2487804339059
10,American Samoa,ASM,5.6,15501.5263374397,28.1982723159194,6.45391759942843,65.3478100846522
11,Antigua and Barbuda,ATG,5.961,15284.7723835378,19.082383665717,9.80477855477855,71.1128377795044
12,Australia,AUS,6.3,51722.0690001531,18.5417282291673,16.2335929179415,65.2246788528912
13,Austria,AUT,10.3,48809.2268762235,14.4032175479921,19.1494297623302,66.4473526896778
14,Azerbaijan,AZE,7.5,4229.91064904503,24.2241066583594,6.47151357356977,69.3043797680709
15,Burundi,BDI,7.562,216.827417445762,46.7202796936702,2.46672187295383,50.812998433376
16,Belgium,BEL,11.0,45517.9038182019,16.7934968825779,19.2076193876575,63.9988837297645
17,Benin,BEN,9.364,1237.9492953503,42.712662844457,3.08886103536286,54.1984761201801
18,Burkina Faso,BFA,8.813,833.244336106076,44.4375212392763,2.56141374198483,53.0010650187389
19,Bangladesh,BGD,5.816,2233.30589251829,26.9821786730329,5.6329625843332,67.3848587426339
20,Bulgaria,BGR,18.0,10153.4766003869,14.0190362054997,22.2651260546645,63.7158377398358
21,Bahrain,BHR,2.239,23433.1872362574,20.298970739826,3.1971229176382,76.5039063425358
22,"Bahamas, The",BHS,8.076,23998.2680191207,20.1664815368359,8.27893222526057,71.5545862379035
23,Bosnia and Herzegovina,BIH,14.094,6095.10247869327,14.9240411251481,17.7428631052696,67.3330957695822
24,Belarus,BLR,16.553,6542.8645398436,16.8397311511557,16.5527294408646,66.6075394079797
25,Belize,BLZ,5.244,5266.87616004213,28.7764246221708,4.80565075755753,66.4179246202717
26,Bermuda,BMU,8.8,107791.886435134,14.9296038606602,19.0221847400848,66.048211399255
27,Bolivia,BOL,9.3,3068.81255516456,31.4020327472097,4.97840930778252,63.6195579450078
28,Brazil,BRA,7.42,6923.70019715065,20.8347709462045,9.29075512793776,69.8744739258577
29,Barbados,BRB,8.973,16643.8065787177,17.3732512032719,15.1562383101823,67.4705104865458
30,Brunei Darussalam,BRN,4.975,27179.3444218249,22.6386326334258,5.46652328937687,71.8948440771973
31,Bhutan,BTN,6.545,3009.92551590976,23.5262897634452,6.03205670894466,70.4416535276102
32,Botswana,BWA,6.95,5875.07060571282,33.1708818953174,3.54835960700628,63.2807584976763
33,Central African Republic,CAF,11.041,435.469248170025,48.2084382989396,2.47886962803808,49.3126920730224
34,Canada,CAN,8.1,43349.677855557,15.8683623523158,18.0184265996951,66.1132110479891
35,Central Europe and the Baltics,CEB,13.7020454985942,16298.2670593913,15.3631461858253,19.2639666919042,65.3728871222705
36,Switzerland,CHE,8.8,85656.322666307,15.0597381778765,18.7258475405716,66.2144142815519
37,Channel Islands,CHI,8.47393243061603,57339.5268713567,15.3054277156841,16.2998027613412,68.3947695229747
38,Chile,CHL,7.221,13165.3863429858,18.6188701743694,12.3955778026311,68.9855520229994
39,China,CHN,7.07,10408.7191247747,18.0251204603043,12.5982619560395,69.3766175836562
40,Cote d'Ivoire,CIV,8.817,2349.06988200032,42.110374911366,2.40883203976997,55.4807930488641
41,Cameroon,CMR,8.419,1539.13054650019,42.625165638261,2.73698475900564,54.6378496027334
42,"Congo, Dem. Rep.",COD,9.537,524.666686258939,46.4939302095622,3.00071140817177,50.505358382266
43,"Congo, Rep.",COG,6.923,1838.44812411674,41.6719395093871,2.64763930388655,55.6804211867263
44,Colombia,COL,6.606,5304.28912886637,21.9223616028949,8.47231076171452,69.6053276353906
45,Comoros,COM,8.274,1519.58677981636,38.4706127522123,4.33403294110642,57.1953543066812
46,Cabo Verde,CPV,5.692,3223.73560213047,27.0430282850474,5.36840930935054,67.5885624056021
47,Costa Rica,CRI,5.627,12179.2566742377,20.9004500200562,10.218324629302,68.8812253506419
48,Caribbean small states,CSS,7.67845113024342,8864.60436985981,22.152512061859,8.14603636999987,69.7014515681411
49,Cuba,CUB,10.23,9499.59020230432,15.8605291460758,15.5518048531162,68.5876660008081
50,Curacao,CUW,9.3,16109.8617501685,17.7131732778272,14.2467714626087,68.0400552595641
51,Cayman Islands,CYM,3.3,83897.5052077489,16.8896383179444,7.52780026890307,75.5825614131525
52,Cyprus,CYP,6.93,28035.984375,16.0060264864808,14.1544454832462,69.839528030273
53,Czechia,CZE,12.1,22992.8793833348,15.9618120049623,20.1648929510514,63.8732950439863
54,Germany,DEU,11.9,46772.8253507537,13.7515489432774,21.9637344087494,64.2847166479732
55,Djibouti,DJI,8.821,2917.9962809563,31.1910864133207,4.45748131460085,64.3514322720785
56,Dominica,DMA,8.177,7003.46989117043,20.1251484488398,9.17222843411649,70.7026231170437
57,Denmark,DNK,9.4,60915.4243995462,16.2688363392114,20.0469184421079,63.6842452186807
58,Dominican Republic,DOM,6.46,7167.91493205787,27.6233677512044,6.96498579251993,65.4116464562757
59,Algeria,DZA,5.398,3354.15730265114,30.647082668821,6.01747007813233,63.3354472530466
60,East Asia & Pacific (excluding high income),EAP,7.22470636415599,8262.89754957938,20.3858781780467,10.8849920002526,68.7291298217007
61,Early-demographic dividend,EAR,7.15549242393579,3232.2471401811,28.4734212773629,6.13446264407147,65.3921160785656
62,East Asia & Pacific,EAS,7.38381885935374,11482.8804990941,19.6089199968365,12.1325060572206,68.2585739459429
63,Europe & Central Asia (excluding high income),ECA,11.3297043592689,7462.09763148974,21.2596304890049,12.1198268564058,66.6205426545894
64,Europe & Central Asia,ECS,11.2752429471204,23995.1500027063,17.9634048526181,16.8103626143485,65.2262325330334
65,Ecuador,ECU,7.534,5645.19928965332,26.4899690256678,7.54415837239534,65.9658726019369
66,"Egypt, Arab Rep.",EGY,5.851,3571.5569065135,33.2101856403026,4.70870905907027,62.0811053006271
67,Euro area,EMU,11.1176057887575,38161.6659419747,14.8630695881997,21.1746618486035,63.9622685631968
68,Spain,ESP,10.4,26959.6754367322,14.3956333577662,19.6725085886783,65.9318580535555
69,Estonia,EST,11.9,23595.2436836437,16.4657932188193,20.1811810049916,63.3530257761891
70,Ethiopia,ETH,6.616,918.652594077418,40.3131916092025,3.13009683831197,56.5567115524855
71,European Union,EUU,11.6026000520246,34332.6449639779,15.0392429458789,20.7622613495723,64.1984957045488
72,Fragile and conflict affected situations,FCS,9.26991748195234,1697.42205372878,40.0024811395778,4.02572725589092,55.9717916045313
73,Finland,FIN,10.0,49169.719338849,15.6613258273671,22.4900930794789,61.848581093154
74,Fiji,FJI,8.078,4864.10600771307,29.1867751965946,5.53925264715533,65.2739721562501
75,France,FRA,9.9,39055.2829280747,17.5521513606696,21.0095477123755,61.4383009269549
76,Faroe Islands,FRO,7.0,61979.7954421759,20.6820566631689,17.8078794238291,61.510063913002
77,"Micronesia, Fed. Sts.",FSM,6.065,3639.41269869588,31.1551961750657,5.55899970117701,63.2858041237573
78,Gabon,GAB,6.909,6680.08267035331,36.5273646684315,3.90439039454796,59.5682449370206
79,United Kingdom,GBR,10.1,40318.4169225055,17.7883500845831,18.7225119004065,63.4891380150104
80,Georgia,GEO,13.976,4255.74299321254,20.9070472172478,14.501600143604,64.5913526391482
81,Ghana,GHA,7.448,2176.57621802942,37.5816131442611,3.40550754160106,59.0128793141378
82,Guinea,GIN,9.847,1073.6593389589,42.1093584492871,3.3868105650427,54.5038309856702
83,"Gambia, The",GMB,7.373,704.030457831626,43.9253961254781,2.45499699882867,53.6196068756932
84,Guinea-Bissau,GNB,8.574,710.258132977055,40.9832336885885,2.79939558335334,56.2173707280581
85,Equatorial Guinea,GNQ,9.026,6327.59896192339,38.8558367743837,3.16653911206332,57.9776241135529
86,Greece,GRC,12.2,17658.9473011189,14.177384022727,22.1814168484866,63.6411991287863
87,Grenada,GRD,8.061,8437.5367823125,24.1337344233926,9.68559714708522,66.1806684295222
88,Greenland,GRL,9.2,54693.5114093342,20.901716152178,8.98681873756169,70.1114651102603
89,Guatemala,GTM,5.337,4609.89725752869,33.4785333299045,4.85058258590094,61.6708840841945
90,Guam,GUM,7.178,34780.8616624614,26.5480319799564,11.1102575769215,62.3417104431221
91,Guyana,GUY,8.026,6863.07434593017,28.8718543104508,6.04708718743806,65.0810585021111
92,High income,HIC,9.84268700853657,43437.8943103859,16.351411318337,18.5739496251314,65.0746390565316
93,"Hong Kong SAR, China",HKG,6.8,46109.2299946609,12.2435835691643,18.7604182532697,68.995998177566
94,Honduras,HND,4.945,2354.12148010105,31.0670482997873,4.117187885154,64.8157638150587
95,Heavily indebted poor countries (HIPC),HPC,7.71060152176083,964.91637621707,42.7041430078029,2.91765964629876,54.3781973458984
96,Croatia,HRV,14.1,14236.5352454642,14.192714705704,21.5708969983057,64.2363882959904
97,Haiti,HTI,8.176,1283.14122784667,32.642847758493,4.43311488222377,62.9240373592833
98,Hungary,HUN,14.5,16125.6094085407,14.5570170366919,20.0974558160559,65.3455271472521
99,IBRD only,IBD,7.66196490130091,6170.42273178302,23.2158386223534,9.27614234251485,67.5080190351318
100,IDA & IBRD total,IBT,7.73824907542386,4895.9749891472,27.364622148651,7.79487059298669,64.8405072583624
101,IDA total,IDA,7.9492102707542,1371.12917554267,38.8379367900856,3.69846576875823,57.4635974411561
102,IDA blend,IDB,9.18242234839937,1720.74122393904,39.52290316256,3.56325204204488,56.9138447953951
103,Indonesia,IDN,8.964,3895.61815205095,25.7189360206748,6.70951911634314,67.5715448629821
104,IDA only,IDX,7.33905228086856,1198.15115452242,38.4990350613852,3.76536564526115,57.7355992933537
105,Isle of Man,IMN,10.414,79530.6054842568,15.1560761730253,21.8441201492049,62.9998036777698
106,India,IND,7.35,1913.21972103493,26.1123335319891,6.67232006787184,67.2153464001391
107,Ireland,IRL,6.5,85420.1908556082,20.1778202263229,14.5443326373668,65.2778471363103
108,"Iran, Islamic Rep.",IRN,5.567,2746.41948317956,23.9924771617384,7.1076541617204,68.8998686765412
109,Iraq,IRQ,5.239,4251.33725272808,38.4857375993296,3.40286336318926,58.1113990374811
110,Iceland,ISL,6.3,58813.7969830876,18.7095173030717,14.5718618154248,66.7186208815035
111,Israel,ISR,5.3,44846.7915954816,28.2373276039897,11.8056892902926,59.9569831057177
112,Italy,ITA,12.5,31918.6934933773,12.8580060780417,23.3720710799476,63.7699228420107
113,Jamaica,JAM,7.583,4897.26477019956,20.8331833860409,7.04254715273581,72.1242694612233
114,Jordan,JOR,3.475,3987.65017399411,33.0584933040197,3.61247670244304,63.3290299935372
115,Japan,JPN,11.1,39986.9286287091,11.9157072442963,29.5831784516048,58.501114304099
116,Kazakhstan,KAZ,8.6,9121.63640167864,29.2444540596271,7.84405363269757,62.9114923076753
117,Kenya,KEN,7.456,1936.25075166045,38.9730143512322,2.8030771107022,58.2239085380656
118,Kyrgyz Republic,KGZ,6.1,1182.52150620357,34.3532106621858,4.26798253164187,61.3788068061724
119,Cambodia,KHM,6.228,1577.91173993243,29.6255402063096,5.27259166472753,65.1018681289629
120,Kiribati,KIR,6.242,1403.99373815921,36.1914702661242,3.6856484282026,60.1228813056732
121,St. Kitts and Nevis,KNA,10.036,18566.0178460649,20.0272865613685,9.1945216980637,70.7781917405678
122,"Korea, Rep.",KOR,5.9,31721.2980183057,12.1664146109619,15.8290693238877,72.0045160651504
123,Kuwait,KWT,3.254,24297.7011414501,20.9743066331884,3.98390576923981,75.0417875975718
124,Latin America & Caribbean (excluding high income),LAC,7.78606369075861,6837.63041190964,23.8954726904489,8.60004136293766,67.5044859466134
125,Lao PDR,LAO,6.366,2593.35509719847,31.3743314171013,4.27857533111667,64.347093251782
126,Lebanon,LBN,6.253,5599.95752260733,27.8350661102874,9.3500733322638,62.8148605574488
127,Liberia,LBR,8.753,597.529691893048,41.456589074835,3.37516752793,55.168243397235
128,Libya,LBY,5.598,7034.65836451166,29.3998354659539,4.80500882033537,65.7951557137108
129,St. Lucia,LCA,8.205,8458.07506262658,18.5729469165042,8.91643164199256,72.5106214415033
130,Latin America & Caribbean,LCN,7.76559302016541,7344.06092228177,23.8705598102878,8.79502024475866,67.3344199449535
131,Least developed countries: UN classification,LDC,7.41817909188736,1082.60022121405,39.2344176914977,3.59415030479555,57.1714320037067
132,Low income,LIC,7.79494544694132,653.673818043846,42.324262352598,3.16541823034424,54.5103194170577
133,Liechtenstein,LIE,8.2,165284.497122453,14.6403137578698,18.4745587779957,66.8851274641346
134,Sri Lanka,LKA,7.056,3852.38996755421,23.5872127477129,10.8029791003068,65.6098081519803
135,Lower middle income,LMC,7.47736455449097,2123.38231816223,30.2057074031887,5.8188618717288,63.9754307250825
136,Low & middle income,LMY,7.69244207024656,4729.76698690413,27.4588632559991,7.69713678773075,64.8439999562701
137,Lesotho,LSO,12.858,939.504249056769,34.2274521982166,4.21094893749168,61.5615988642917
138,Late-demographic dividend,LTE,7.72323993135347,9720.85844961143,18.9670693554079,12.0136304184391,69.0193002261529
139,Lithuania,LTU,15.6,20363.9244050084,15.070100644744,20.4200383190737,64.5098610361822
140,Luxembourg,LUX,7.3,117370.49690016,15.9809771422725,14.5581492371108,69.4608736206168
141,Latvia,LVA,15.2,18207.1396408628,15.6502562923947,21.4001513927926,62.9495923148127
142,"Macao SAR, China",MAC,4.047,37646.4956527785,14.3349012173898,11.6795039946295,73.9855947879808
143,Morocco,MAR,6.073,3258.10498046875,27.0916484625276,7.15127378958437,65.7570777478881
144,Moldova,MDA,14.445,4376.24249318339,19.6493213439759,13.3553138940116,66.9953647620125
145,Madagascar,MDG,6.801,462.40422880067,39.7196559603445,3.2461993638906,57.0341446757649
146,Maldives,MDV,3.001,7282.37291624623,21.7894090249943,4.38400740225256,73.8265835727532
147,Middle East & North Africa,MEA,5.28524017337296,6579.37098743688,30.2214467796091,5.17890210616636,64.5996511142246
148,Mexico,MEX,9.33,8654.99732516958,25.3368030520634,8.02123669897249,66.6419602489641
149,Marshall Islands,MHL,7.425,5567.97272706332,34.1195711011552,3.91122577078558,61.9692031280592
150,Middle income,MIC,7.68082092519561,5191.84969531779,25.7735240534057,8.21091262988967,66.0155633167046
151,North Macedonia,MKD,12.4,5965.45023195365,16.1207708976224,14.5855552500235,69.2936738523541
152,Mali,MLI,9.529,822.90613752314,47.6079883942925,2.49587496065782,49.8961366450497
